IT,Window,Center,Area-202,Area-203,Std-202,Std-203
1,2,203.0777013,21188.61992,16083.9084,642.9027993,599.0346283
1,2,203.1777013,14590.80566,15667.33867,522.3640409,417.3472377
1,2,203.2777013,8153.143164,15902.66074,430.7663535,657.5951876
1,2,203.3777013,1601.933643,14212.99668,406.3866558,632.078365
1,2,203.4777013,0,13658.02676,0,418.947908
1,2,203.5777013,36.5598053,12569.44844,73.1196106,1115.463372
1,2,203.6777013,0,10826.7752,0,435.3028455
1,2,203.7777013,0,9228.168359,0,405.5391988
1,2,203.8777013,0,7644.446289,0,218.803674
1,2,203.9777013,0,6388.675,0,337.4575592
1,2,204.0777013,0,4951.21123,0,233.4311341
1,2,204.1777013,0,3214.953125,0,255.0430418
1,2,204.2777013,34.90724182,1721.024536,69.81448364,277.328168
1,2,204.3777013,0,385.7347778,0,86.29659293
1,2,204.4777013,0,0,0,0
1,2,204.5777013,69.77178955,0,85.95966234,0
1,2,204.6777013,0,36.3401947,0,72.6803894
1,2,204.7777013,0,0,0,0
1,2,204.8777013,0,0,0,0
1,2,204.9777013,0,0,0,0
1,2,205.0777013,45.75504456,0,91.51008911,0
1,2,205.1777013,0,0,0,0
1,3,198.6777013,0,0,0,0
1,3,198.7777013,0,34.07934265,0,68.1586853
1,3,198.8777013,0,0,0,0
1,3,198.9777013,0,0,0,0
1,3,199.0777013,0,0,0,0
1,3,199.1777013,0,0,0,0
1,3,199.2777013,0,0,0,0
1,3,199.3777013,0,0,0,0
1,3,199.4777013,0,0,0,0
1,3,199.5777013,0,0,0,0
1,3,199.6777013,0,0,0,0
1,3,199.7777013,0,0,0,0
1,3,199.8777013,39.75384827,31.30574036,79.50769653,62.61148071
1,3,199.9777013,0,0,0,0
1,3,200.0777013,0,0,0,0
1,3,200.1777013,0,0,0,0
1,3,200.2777013,68.53215332,0,83.97659881,0
1,3,200.3777013,0,0,0,0
1,3,200.4777013,439.6563538,0,115.5893084,0
1,3,200.5777013,5383.090723,0,856.179858,0
1,3,200.6777013,15421.74453,0,1689.132847,0
1,3,200.7777013,22192.54492,0,949.1565448,0
1,3,200.8777013,29162.46172,0,3182.550401,0
1,3,200.9777013,30645.04219,0,1760.932987,0
1,3,201.0777013,33828.81094,0,678.0827098,0
1,3,201.1777013,42156.35,0,894.5400875,0
1,3,201.2777013,49396.83594,0,3184.648522,0
1,3,201.3777013,56406.08047,0,5815.343157,0
1,3,201.4777013,60725.02266,0,6386.999043,0
1,3,201.5777013,62377.83203,892.8644043,1929.222554,272.058846
1,3,201.6777013,69265.50078,3282.928662,7338.737599,362.9520502
1,3,201.7777013,70972.26719,4549.369727,1739.850076,153.8129862
1,3,201.8777013,73784.38125,5182.872559,1991.00405,277.2327706
1,3,201.9777013,77780.70469,6589.530371,1933.027007,175.5629551
1,3,202.0777013,77823.93594,7606.266504,892.8880421,232.8212035
1,3,202.1777013,78472.61406,8827.655078,704.0589263,281.7787404
1,3,202.2777013,77956.56094,9784.415234,1205.977078,403.7119788
1,3,202.3777013,75978.70313,11505.08633,1504.044817,236.6881056
1,3,202.4777013,71744.71094,12632.41035,1281.752431,365.0976755
1,3,202.5777013,66845.47969,13169.38965,1608.342094,547.2505831
1,3,202.6777013,63465.70469,14280.73027,1232.848738,352.3955268
1,3,202.7777013,59848.22578,16144.91289,897.6055347,348.2962773
1,3,202.8777013,55604.64219,17023.69531,1111.382399,380.9586215
1,3,202.9777013,49510.55938,17456.62207,826.3756075,876.346128
1,3,203.0777013,46386.41094,18390.99805,1226.578501,1262.890833
1,3,203.1777013,41564.04609,18561.42383,1024.058843,1247.769288
1,3,203.2777013,37403.26719,18800.41758,2365.463802,1208.191246
1,3,203.3777013,31540.72188,17497.20898,1039.743932,227.7157554
1,3,203.4777013,27226.54336,17109.04805,2281.287349,458.8174923
1,3,203.5777013,22965.34297,16496.5293,2003.691508,1263.878281
1,3,203.6777013,16275.11113,15066.78457,704.7167046,616.8664282
1,3,203.7777013,11885.89668,13339.7418,357.2262259,497.0882936
1,3,203.8777013,5551.439648,12401.1166,268.9867736,133.7639461
1,3,203.9777013,881.5695068,11898.41133,356.9858068,301.385797
1,3,204.0777013,0,10646.52539,0,428.5182431
1,3,204.1777013,0,9440.283594,0,241.7717491
1,3,204.2777013,0,8495.697266,0,357.5405995
1,3,204.3777013,0,7746.020508,0,232.5418035
1,3,204.4777013,0,5977.675195,0,191.7419983
1,3,204.5777013,0,5078.000098,0,230.3114935
1,3,204.6777013,0,3832.564746,0,227.3314762
1,3,204.7777013,0,2796.116064,0,302.3877564
1,3,204.8777013,0,1395.37002,0,215.4455721
1,3,204.9777013,0,199.0287354,0,163.2193437
1,3,205.0777013,35.67597656,0,71.35195313,0
1,3,205.1777013,0,0,0,0
1,3,205.2777013,0,0,0,0
1,3,205.3777013,0,0,0,0
1,3,205.4777013,0,0,0,0
1,3,205.5777013,0,0,0,0
1,3,205.6777013,36.27610779,0,72.55221558,0
1,4,198.1777013,31.26086426,0,62.52172852,0
